cenario,perda,delay,perda_label,delay_label,stall_events_media,stall_events_ic95,stall_events_std,stall_events_min,stall_events_max,stall_events_n,avg_bitrate_selected_kbps_media,avg_bitrate_selected_kbps_ic95,avg_bitrate_selected_kbps_std,avg_bitrate_selected_kbps_min,avg_bitrate_selected_kbps_max,avg_bitrate_selected_kbps_n,quality_switches_media,quality_switches_ic95,quality_switches_std,quality_switches_min,quality_switches_max,quality_switches_n,http_goodput_kbps_media,http_goodput_kbps_ic95,http_goodput_kbps_std,http_goodput_kbps_min,http_goodput_kbps_max,http_goodput_kbps_n,tcp_conn_ms_media,tcp_conn_ms_ic95,tcp_conn_ms_std,tcp_conn_ms_min,tcp_conn_ms_max,tcp_conn_ms_n,http_ok_pct_media,http_ok_pct_ic95,http_ok_pct_std,http_ok_pct_min,http_ok_pct_max,http_ok_pct_n,rtt_ms_media,rtt_ms_ic95,rtt_ms_std,rtt_ms_min,rtt_ms_max,rtt_ms_n,jitter_ms_media,jitter_ms_ic95,jitter_ms_std,jitter_ms_min,jitter_ms_max,jitter_ms_n,perda_medida_media,perda_medida_ic95,perda_medida_std,perda_medida_min,perda_medida_max,perda_medida_n,n_amostras_media,n_amostras_ic95,n_amostras_std,n_amostras_min,n_amostras_max,n_amostras_n,stall_por_minuto_media,stall_por_minuto_ic95,stall_por_minuto_std,stall_por_minuto_min,stall_por_minuto_max
p0_d0,0,0,0%,0ms,0.0,0.0,0.0,0.0,0.0,30,8000.0,0.0,0.0,8000.0,8000.0,30,2.0,0.0,0.0,2.0,2.0,30,82870.1037,697.5847,1868.166,72980.32,83288.02,30,6.3493,0.0032,0.0087,6.32,6.36,30,100.0,0.0,0.0,100.0,100.0,30,6.1907,0.0017,0.0045,6.18,6.2,30,0.101,0.0028,0.0076,0.07,0.11,30,0.0,0.0,0.0,0.0,0.0,30,24.0,0.0,0.0,24.0,24.0,30,0.0,0.0,0.0,0.0,0.0
p0_d50,0,50,0%,50ms,0.0,0.0,0.0,0.0,0.0,30,8000.0,0.0,0.0,8000.0,8000.0,30,2.0,0.0,0.0,2.0,2.0,30,30788.2237,159.8586,428.1092,29752.77,31556.51,30,56.2497,0.4133,1.1068,54.29,59.51,30,100.0,0.0,0.0,100.0,100.0,30,56.2637,0.0835,0.2237,55.81,56.7,30,4.572,0.088,0.2357,4.09,4.95,30,0.0,0.0,0.0,0.0,0.0,30,24.0,0.0,0.0,24.0,24.0,30,0.0,0.0,0.0,0.0,0.0
p0_d200,0,200,0%,200ms,0.0333,0.0167,0.1826,0.0,1.0,30,7547.715,4.5512,12.1883,7529.41,7555.56,30,4.0,0.0,0.0,4.0,4.0,30,8322.466,35.6877,95.5735,8051.09,8410.17,30,205.9827,0.6629,1.7752,203.18,210.15,30,100.0,0.0,0.0,100.0,100.0,30,206.4843,0.3788,1.0143,204.72,208.55,30,8.3803,0.2342,0.6273,6.52,9.37,30,0.0,0.0,0.0,0.0,0.0,30,22.7,0.174,0.4661,22.0,23.0,30,0.0333,0.0167,0.1826,0.0,1.0
p0_d500,0,500,0%,500ms,4.1333,0.6181,1.6554,2.0,10.0,30,1200.0,0.0,0.0,1200.0,1200.0,30,0.0,0.0,0.0,0.0,0.0,30,953.784,2.0753,5.5577,931.33,961.61,30,505.9207,2.5402,6.8027,493.96,517.98,30,100.0,0.0,0.0,100.0,100.0,30,506.092,0.9059,2.426,502.44,513.89,30,16.4143,0.6606,1.7691,12.33,19.57,30,0.0,0.0,0.0,0.0,0.0,30,14.0,0.0,0.0,14.0,14.0,30,4.1333,0.6181,1.6554,2.0,10.0
p1_d0,1,0,1%,0ms,0.0,0.0,0.0,0.0,0.0,30,8000.0,0.0,0.0,8000.0,8000.0,30,2.0,0.0,0.0,2.0,2.0,30,82358.0813,578.0959,1548.1692,77092.78,83266.9,30,10.6243,4.8895,13.0944,6.31,49.46,30,100.0,0.0,0.0,100.0,100.0,30,6.1877,0.0021,0.0057,6.17,6.2,30,0.1047,0.0021,0.0057,0.09,0.11,30,1.084,0.3128,0.8377,0.0,3.33,30,24.0,0.0,0.0,24.0,24.0,30,0.0,0.0,0.0,0.0,0.0
p1_d50,1,50,1%,50ms,0.0,0.0,0.0,0.0,0.0,30,8000.0,0.0,0.0,8000.0,8000.0,30,2.0,0.0,0.0,2.0,2.0,30,30237.5613,301.6523,807.8397,28385.46,31320.45,30,67.5603,8.2883,22.1965,54.44,141.93,30,100.0,0.0,0.0,100.0,100.0,30,56.394,0.1236,0.3311,55.82,57.08,30,4.6527,0.0874,0.2341,4.17,5.03,30,0.8893,0.1989,0.5327,0.0,2.08,30,24.0,0.0,0.0,24.0,24.0,30,0.0,0.0,0.0,0.0,0.0
p1_d200,1,200,1%,200ms,0.0667,0.0333,0.2537,0.0,1.0,30,7418.737,101.1824,270.9713,6588.24,7555.56,30,3.8667,0.3359,0.8996,2.0,6.0,30,8080.8493,110.5515,296.0622,7211.65,8417.03,30,214.5743,6.8161,18.2538,202.08,257.56,30,100.0,0.0,0.0,100.0,100.0,30,206.462,0.316,0.8463,205.02,208.32,30,8.3513,0.3009,0.8059,7.2,10.12,30,0.6593,0.2503,0.6703,0.0,2.73,30,22.2667,0.1679,0.4498,22.0,23.0,30,0.0667,0.0333,0.2537,0.0,1.0
p1_d500,1,500,1%,500ms,4.2,0.6233,1.6692,1.0,7.0,30,1200.0,0.0,0.0,1200.0,1200.0,30,0.0,0.0,0.0,0.0,0.0,30,946.5923,6.5698,17.5943,882.2,960.59,30,520.5687,14.1265,37.8314,497.24,650.36,30,100.0,0.0,0.0,100.0,100.0,30,506.613,0.9714,2.6016,502.53,512.58,30,16.982,0.7274,1.9481,12.76,19.65,30,1.243,0.4597,1.2311,0.0,4.29,30,13.9667,0.0682,0.1826,13.0,14.0,30,4.2,0.6233,1.6692,1.0,7.0
p5_d0,5,0,5%,0ms,0.0,0.0,0.0,0.0,0.0,30,8000.0,0.0,0.0,8000.0,8000.0,30,2.0,0.0,0.0,2.0,2.0,30,77812.092,1539.116,4121.8283,67923.14,83178.58,30,60.1423,23.7669,63.6489,6.26,275.64,30,100.0,0.0,0.0,100.0,100.0,30,6.18,0.0017,0.0045,6.17,6.19,30,0.109,0.0011,0.0031,0.1,0.11,30,5.48,0.5168,1.3839,3.33,8.26,30,23.9333,0.0947,0.2537,23.0,24.0,30,0.0,0.0,0.0,0.0,0.0
p5_d50,5,50,5%,50ms,0.0,0.0,0.0,0.0,0.0,30,8000.0,0.0,0.0,8000.0,8000.0,30,2.0,0.0,0.0,2.0,2.0,30,29116.1263,500.2277,1339.6343,26709.4,31395.12,30,107.83,18.8845,50.5735,55.1,230.65,30,100.0,0.0,0.0,100.0,100.0,30,56.3787,0.1106,0.2962,55.88,57.01,30,4.5597,0.0828,0.2218,4.02,5.08,30,5.1397,0.5735,1.536,2.5,9.57,30,23.7667,0.1606,0.4302,23.0,24.0,30,0.0,0.0,0.0,0.0,0.0
p5_d200,5,200,5%,200ms,0.2667,0.1945,0.5208,0.0,2.0,30,7167.0587,178.0501,476.8269,6000.0,7529.41,30,4.2,0.409,1.0954,2.0,6.0,30,7677.2287,230.2865,616.7187,6015.5,8324.7,30,256.9573,18.4403,49.384,203.06,402.74,30,100.0,0.0,0.0,100.0,100.0,30,206.2593,0.4433,1.1872,203.03,208.24,30,8.2573,0.2837,0.7597,6.72,9.57,30,5.2407,0.6953,1.862,1.82,9.52,30,21.5,0.2351,0.6297,20.0,22.0,30,0.2667,0.1945,0.5208,0.0,2.0
p5_d500,5,500,5%,500ms,4.7,0.5646,1.512,2.0,7.0,30,1200.0,0.0,0.0,1200.0,1200.0,30,0.0,0.0,0.0,0.0,0.0,30,928.599,7.6575,20.507,883.2,958.97,30,555.8487,29.3994,78.733,495.14,830.01,30,100.0,0.0,0.0,100.0,100.0,30,505.8203,0.9065,2.4277,501.08,510.65,30,16.7693,0.6188,1.6573,13.55,19.92,30,6.5753,1.1105,2.974,1.43,12.31,30,13.4333,0.1882,0.504,13.0,14.0,30,4.7,0.5646,1.512,2.0,7.0
p15_d0,15,0,15%,0ms,0.0333,0.0167,0.1826,0.0,1.0,30,8000.0,0.0,0.0,8000.0,8000.0,30,2.0,0.0,0.0,2.0,2.0,30,67618.123,2258.6522,6048.7817,56594.56,82837.95,30,178.9077,35.9455,96.2639,6.3,427.43,30,100.0,0.0,0.0,100.0,100.0,30,6.1673,0.0024,0.0064,6.16,6.18,30,0.1117,0.0017,0.0046,0.1,0.12,30,15.3367,0.9318,2.4955,10.87,20.0,30,23.3333,0.2041,0.5467,22.0,24.0,30,0.0333,0.0167,0.1826,0.0,1.0
p15_d50,15,50,15%,50ms,0.1,0.05,0.3051,0.0,1.0,30,8000.0,0.0,0.0,8000.0,8000.0,30,2.0,0.0,0.0,2.0,2.0,30,25618.3037,600.6822,1608.6565,22360.82,29176.29,30,251.2787,34.5098,92.4191,99.95,520.36,30,100.0,0.0,0.0,100.0,100.0,30,56.4553,0.1212,0.3245,55.9,57.55,30,4.559,0.0981,0.2627,3.91,5.0,30,15.0537,0.8915,2.3874,10.43,19.55,30,22.1,0.2998,0.803,20.0,24.0,30,0.1,0.05,0.3051,0.0,1.0
p15_d200,15,200,15%,200ms,1.1667,0.3808,1.0199,0.0,4.0,30,6185.3733,266.347,713.2903,4053.33,7500.0,30,4.9333,0.9949,2.6644,2.0,12.0,30,6343.164,298.9338,800.5594,4199.39,7982.14,30,398.9723,32.4125,86.8023,257.33,585.55,30,100.0,0.0,0.0,100.0,100.0,30,206.2407,0.4832,1.2939,204.02,209.28,30,7.8803,0.2735,0.7325,6.67,9.77,30,14.5513,1.4136,3.7856,6.67,22.0,30,19.6667,0.3152,0.8442,17.0,21.0,30,1.1667,0.3808,1.0199,0.0,4.0
p15_d500,15,500,15%,500ms,7.4333,0.5775,1.5466,4.0,11.0,30,1200.0,0.0,0.0,1200.0,1200.0,30,0.0,0.0,0.0,0.0,0.0,30,851.7383,13.7288,36.7663,745.08,926.44,30,697.6843,52.1801,139.7408,504.25,1071.01,30,100.0,0.0,0.0,100.0,100.0,30,505.4503,1.1966,3.2045,500.05,510.27,30,16.1663,0.6303,1.6879,12.62,19.65,30,15.0593,2.1023,5.63,3.33,26.67,30,12.2333,0.2122,0.5683,11.0,13.0,30,7.4333,0.5775,1.5466,4.0,11.0
